Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
15-05-2003,UTIBANK,EQ,45.5,45.75,46.9,45.35,46.75,46.65,46.15,200081,9.23312E+11,,131807,0.6588
16-05-2003,UTIBANK,EQ,46.65,47,47,45.6,46.1,45.85,46.16,125600,5.79722E+11,,81599,0.6497
19-05-2003,UTIBANK,EQ,45.85,46.5,46.55,45.05,46.25,46,46.13,126652,5.84208E+11,,101272,0.7996
20-05-2003,UTIBANK,EQ,46,46.3,46.3,45.05,45.5,45.5,45.8,79101,3.62257E+11,,52277,0.6609
21-05-2003,UTIBANK,EQ,45.5,45.75,46.25,45.5,45.6,45.65,45.87,83440,3.82772E+11,,53001,0.6352
22-05-2003,UTIBANK,EQ,45.65,45.1,45.95,45,45.8,45.6,45.5,79960,3.63813E+11,,55037,0.6883
23-05-2003,UTIBANK,EQ,45.6,45.9,47,45.9,46.55,46.7,46.63,159800,7.45152E+11,,99011,0.6196
26-05-2003,UTIBANK,EQ,46.7,47.2,50.95,46,50.8,50.4,49.46,645660,3.19344E+12,,296166,0.4587
27-05-2003,UTIBANK,EQ,50.4,51.8,54.75,51.05,52.05,51.85,52.91,772231,4.08581E+12,,421412,0.5457
28-05-2003,UTIBANK,EQ,51.85,52.5,53,50.5,52.85,52.55,51.78,356441,1.84561E+12,,169644,0.4759
29-05-2003,UTIBANK,EQ,52.55,53.5,54,51.65,52.45,52.45,52.79,501448,2.64695E+12,,313180,0.6246
30-05-2003,UTIBANK,EQ,52.45,53,54.45,51.3,52.35,52.3,53.41,439259,2.34609E+12,,239508,0.5453
02-06-2003,UTIBANK,EQ,52.3,50.05,51.85,48,50.35,50.15,50.25,275259,1.38312E+12,,147294,0.5351
03-06-2003,UTIBANK,EQ,50.15,50,51.7,50,50.5,50.65,50.85,190835,9.7048E+11,,95963,0.5029
04-06-2003,UTIBANK,EQ,50.65,51.5,52.15,50.75,51.1,51,51.42,155652,8.00337E+11,,94178,0.6051
05-06-2003,UTIBANK,EQ,51,51.3,52,49.05,49.5,49.55,50.27,192281,9.66652E+11,,108667,0.5651
06-06-2003,UTIBANK,EQ,49.55,50.95,50.95,49.65,50.75,50.65,50.36,157724,7.94354E+11,,101053,0.6407
09-06-2003,UTIBANK,EQ,50.65,49.75,49.95,48,49.5,49.6,49.52,127411,6.30885E+11,,86175,0.6764
10-06-2003,UTIBANK,EQ,49.6,48.25,54.25,48.1,51.45,51.75,52.37,742982,3.89111E+12,,466528,0.6279
11-06-2003,UTIBANK,EQ,51.75,50,55.7,50,52,51.85,53.26,508739,2.70934E+12,,166592,0.3275
12-06-2003,UTIBANK,EQ,51.85,52.9,54.6,52,54.5,54.15,53.35,571678,3.04984E+12,,416711,0.7289
13-06-2003,UTIBANK,EQ,54.15,54.6,55.75,52.7,52.8,53,54.11,416492,2.25362E+12,,191464,0.4597
16-06-2003,UTIBANK,EQ,53,52.95,53.3,51.25,51.8,51.55,51.99,160611,8.35052E+11,,97438,0.6067
17-06-2003,UTIBANK,EQ,51.55,51.55,52.2,50.25,52.2,51.9,51.5,204868,1.05512E+12,,122836,0.5996
18-06-2003,UTIBANK,EQ,51.9,52,52.4,50.7,50.8,51,51.5,124919,6.43318E+11,,93713,0.7502
19-06-2003,UTIBANK,EQ,51,54.9,54.9,50.5,50.7,50.8,51.27,118890,6.09564E+11,,62376,0.5247
20-06-2003,UTIBANK,EQ,50.8,51.5,51.9,50.6,50.8,50.9,51.21,86808,4.44535E+11,,47102,0.5426
23-06-2003,UTIBANK,EQ,50.9,51.75,51.75,49,49.4,49.5,50.14,131216,6.57954E+11,,85912,0.6547
24-06-2003,UTIBANK,EQ,49.5,49,49.6,48.6,49,48.95,49.12,71502,3.51195E+11,,41864,0.5855
25-06-2003,UTIBANK,EQ,48.95,49.5,51.7,49.5,49.7,49.75,50.07,155938,7.80734E+11,,76870,0.493
26-06-2003,UTIBANK,EQ,49.75,51.95,51.95,49.1,49.1,49.5,50.04,132662,6.63803E+11,,74763,0.5636
27-06-2003,UTIBANK,EQ,49.5,49.95,49.95,48.65,49,48.8,49.12,98767,4.85136E+11,,61937,0.6271
30-06-2003,UTIBANK,EQ,48.8,48.7,49.9,48.55,48.95,48.7,49.09,110325,5.41567E+11,,83268,0.7548
01-07-2003,UTIBANK,EQ,48.7,49.7,49.9,48.1,48.6,48.45,48.67,93014,4.52671E+11,,62841,0.6756
02-07-2003,UTIBANK,EQ,48.45,49,49.4,48,48.2,48.15,48.63,129851,6.31492E+11,,88745,0.6834
03-07-2003,UTIBANK,EQ,48.15,48.5,57.8,48.3,57.8,57.8,55.95,1127594,6.30841E+12,,583062,0.5171
04-07-2003,UTIBANK,EQ,57.8,59.9,59.9,53.55,54.3,54.15,55.63,1108914,6.16844E+12,,458435,0.4134
